equipment_id ,localize_key 
魔石のID,魔石の名称
4101111,FireMagicStone
4101112,FireMagicStone
4101113,FireMagicStone
4101121,FireMagicStone
4101122,FireMagicStone
4101123,FireMagicStone
4102111,FireMagicStone
4102112,FireMagicStone
4102113,FireMagicStone
4102121,FireMagicStone
4102122,FireMagicStone
4102123,FireMagicStone
4103111,FireMagicStone
4103112,FireMagicStone
4103113,FireMagicStone
4103121,FireMagicStone
4103122,FireMagicStone
4103123,FireMagicStone
4104111,FireMagicStone
4104112,FireMagicStone
4104113,FireMagicStone
4104121,FireMagicStone
4104122,FireMagicStone
4104123,FireMagicStone
4105111,FireMagicStone
4105112,FireMagicStone
4105113,FireMagicStone
4105121,FireMagicStone
4105122,FireMagicStone
4105123,FireMagicStone
4106111,FireMagicStone
4106112,FireMagicStone
4106113,FireMagicStone
4106121,FireMagicStone
4106122,FireMagicStone
4106123,FireMagicStone
4107111,FireMagicStone
4107112,FireMagicStone
4107113,FireMagicStone
4107121,FireMagicStone
4107122,FireMagicStone
4107123,FireMagicStone
4108111,FireMagicStone
4108112,FireMagicStone
4108113,FireMagicStone
4108121,FireMagicStone
4108122,FireMagicStone
4108123,FireMagicStone
4109111,FireMagicStone
4109112,FireMagicStone
4109113,FireMagicStone
4109121,FireMagicStone
4109122,FireMagicStone
4109123,FireMagicStone
4110111,FireMagicStone
4110112,FireMagicStone
4110113,FireMagicStone
4110121,FireMagicStone
4110122,FireMagicStone
4110123,FireMagicStone
4201111,WaterMagicStone
4201112,WaterMagicStone
4201113,WaterMagicStone
4201121,WaterMagicStone
4201122,WaterMagicStone
4201123,WaterMagicStone
4202111,WaterMagicStone
4202112,WaterMagicStone
4202113,WaterMagicStone
4202121,WaterMagicStone
4202122,WaterMagicStone
4202123,WaterMagicStone
4203111,WaterMagicStone
4203112,WaterMagicStone
4203113,WaterMagicStone
4203121,WaterMagicStone
4203122,WaterMagicStone
4203123,WaterMagicStone
4204111,WaterMagicStone
4204112,WaterMagicStone
4204113,WaterMagicStone
4204121,WaterMagicStone
4204122,WaterMagicStone
4204123,WaterMagicStone
4205111,WaterMagicStone
4205112,WaterMagicStone
4205113,WaterMagicStone
4205121,WaterMagicStone
4205122,WaterMagicStone
4205123,WaterMagicStone
4206111,WaterMagicStone
4206112,WaterMagicStone
4206113,WaterMagicStone
4206121,WaterMagicStone
4206122,WaterMagicStone
4206123,WaterMagicStone
4207111,WaterMagicStone
4207112,WaterMagicStone
4207113,WaterMagicStone
4207121,WaterMagicStone
4207122,WaterMagicStone
4207123,WaterMagicStone
4208111,WaterMagicStone
4208112,WaterMagicStone
4208113,WaterMagicStone
4208121,WaterMagicStone
4208122,WaterMagicStone
4208123,WaterMagicStone
4209111,WaterMagicStone
4209112,WaterMagicStone
4209113,WaterMagicStone
4209121,WaterMagicStone
4209122,WaterMagicStone
4209123,WaterMagicStone
4210111,WaterMagicStone
4210112,WaterMagicStone
4210113,WaterMagicStone
4210121,WaterMagicStone
4210122,WaterMagicStone
4210123,WaterMagicStone
4301111,WoodMagicStone
4301112,WoodMagicStone
4301113,WoodMagicStone
4301121,WoodMagicStone
4301122,WoodMagicStone
4301123,WoodMagicStone
4302111,WoodMagicStone
4302112,WoodMagicStone
4302113,WoodMagicStone
4302121,WoodMagicStone
4302122,WoodMagicStone
4302123,WoodMagicStone
4303111,WoodMagicStone
4303112,WoodMagicStone
4303113,WoodMagicStone
4303121,WoodMagicStone
4303122,WoodMagicStone
4303123,WoodMagicStone
4304111,WoodMagicStone
4304112,WoodMagicStone
4304113,WoodMagicStone
4304121,WoodMagicStone
4304122,WoodMagicStone
4304123,WoodMagicStone
4305111,WoodMagicStone
4305112,WoodMagicStone
4305113,WoodMagicStone
4305121,WoodMagicStone
4305122,WoodMagicStone
4305123,WoodMagicStone
4306111,WoodMagicStone
4306112,WoodMagicStone
4306113,WoodMagicStone
4306121,WoodMagicStone
4306122,WoodMagicStone
4306123,WoodMagicStone
4307111,WoodMagicStone
4307112,WoodMagicStone
4307113,WoodMagicStone
4307121,WoodMagicStone
4307122,WoodMagicStone
4307123,WoodMagicStone
4308111,WoodMagicStone
4308112,WoodMagicStone
4308113,WoodMagicStone
4308121,WoodMagicStone
4308122,WoodMagicStone
4308123,WoodMagicStone
4309111,WoodMagicStone
4309112,WoodMagicStone
4309113,WoodMagicStone
4309121,WoodMagicStone
4309122,WoodMagicStone
4309123,WoodMagicStone
4310111,WoodMagicStone
4310112,WoodMagicStone
4310113,WoodMagicStone
4310121,WoodMagicStone
4310122,WoodMagicStone
4310123,WoodMagicStone
4401111,EarthMagicStone
4401112,EarthMagicStone
4401113,EarthMagicStone
4401121,EarthMagicStone
4401122,EarthMagicStone
4401123,EarthMagicStone
4402111,EarthMagicStone
4402112,EarthMagicStone
4402113,EarthMagicStone
4402121,EarthMagicStone
4402122,EarthMagicStone
4402123,EarthMagicStone
4403111,EarthMagicStone
4403112,EarthMagicStone
4403113,EarthMagicStone
4403121,EarthMagicStone
4403122,EarthMagicStone
4403123,EarthMagicStone
4404111,EarthMagicStone
4404112,EarthMagicStone
4404113,EarthMagicStone
4404121,EarthMagicStone
4404122,EarthMagicStone
4404123,EarthMagicStone
4405111,EarthMagicStone
4405112,EarthMagicStone
4405113,EarthMagicStone
4405121,EarthMagicStone
4405122,EarthMagicStone
4405123,EarthMagicStone
4406111,EarthMagicStone
4406112,EarthMagicStone
4406113,EarthMagicStone
4406121,EarthMagicStone
4406122,EarthMagicStone
4406123,EarthMagicStone
4407111,EarthMagicStone
4407112,EarthMagicStone
4407113,EarthMagicStone
4407121,EarthMagicStone
4407122,EarthMagicStone
4407123,EarthMagicStone
4408111,EarthMagicStone
4408112,EarthMagicStone
4408113,EarthMagicStone
4408121,EarthMagicStone
4408122,EarthMagicStone
4408123,EarthMagicStone
4409111,EarthMagicStone
4409112,EarthMagicStone
4409113,EarthMagicStone
4409121,EarthMagicStone
4409122,EarthMagicStone
4409123,EarthMagicStone
4410111,EarthMagicStone
4410112,EarthMagicStone
4410113,EarthMagicStone
4410121,EarthMagicStone
4410122,EarthMagicStone
4410123,EarthMagicStone
4501111,WindMagicStone
4501112,WindMagicStone
4501113,WindMagicStone
4501121,WindMagicStone
4501122,WindMagicStone
4501123,WindMagicStone
4502111,WindMagicStone
4502112,WindMagicStone
4502113,WindMagicStone
4502121,WindMagicStone
4502122,WindMagicStone
4502123,WindMagicStone
4503111,WindMagicStone
4503112,WindMagicStone
4503113,WindMagicStone
4503121,WindMagicStone
4503122,WindMagicStone
4503123,WindMagicStone
4504111,WindMagicStone
4504112,WindMagicStone
4504113,WindMagicStone
4504121,WindMagicStone
4504122,WindMagicStone
4504123,WindMagicStone
4505111,WindMagicStone
4505112,WindMagicStone
4505113,WindMagicStone
4505121,WindMagicStone
4505122,WindMagicStone
4505123,WindMagicStone
4506111,WindMagicStone
4506112,WindMagicStone
4506113,WindMagicStone
4506121,WindMagicStone
4506122,WindMagicStone
4506123,WindMagicStone
4507111,WindMagicStone
4507112,WindMagicStone
4507113,WindMagicStone
4507121,WindMagicStone
4507122,WindMagicStone
4507123,WindMagicStone
4508111,WindMagicStone
4508112,WindMagicStone
4508113,WindMagicStone
4508121,WindMagicStone
4508122,WindMagicStone
4508123,WindMagicStone
4509111,WindMagicStone
4509112,WindMagicStone
4509113,WindMagicStone
4509121,WindMagicStone
4509122,WindMagicStone
4509123,WindMagicStone
4510111,WindMagicStone
4510112,WindMagicStone
4510113,WindMagicStone
4510121,WindMagicStone
4510122,WindMagicStone
4510123,WindMagicStone
4601111,LightMagicStone
4601112,LightMagicStone
4601113,LightMagicStone
4601121,LightMagicStone
4601122,LightMagicStone
4601123,LightMagicStone
4602111,LightMagicStone
4602112,LightMagicStone
4602113,LightMagicStone
4602121,LightMagicStone
4602122,LightMagicStone
4602123,LightMagicStone
4603111,LightMagicStone
4603112,LightMagicStone
4603113,LightMagicStone
4603121,LightMagicStone
4603122,LightMagicStone
4603123,LightMagicStone
4604111,LightMagicStone
4604112,LightMagicStone
4604113,LightMagicStone
4604121,LightMagicStone
4604122,LightMagicStone
4604123,LightMagicStone
4605111,LightMagicStone
4605112,LightMagicStone
4605113,LightMagicStone
4605121,LightMagicStone
4605122,LightMagicStone
4605123,LightMagicStone
4606111,LightMagicStone
4606112,LightMagicStone
4606113,LightMagicStone
4606121,LightMagicStone
4606122,LightMagicStone
4606123,LightMagicStone
4607111,LightMagicStone
4607112,LightMagicStone
4607113,LightMagicStone
4607121,LightMagicStone
4607122,LightMagicStone
4607123,LightMagicStone
4608111,LightMagicStone
4608112,LightMagicStone
4608113,LightMagicStone
4608121,LightMagicStone
4608122,LightMagicStone
4608123,LightMagicStone
4609111,LightMagicStone
4609112,LightMagicStone
4609113,LightMagicStone
4609121,LightMagicStone
4609122,LightMagicStone
4609123,LightMagicStone
4610111,LightMagicStone
4610112,LightMagicStone
4610113,LightMagicStone
4610121,LightMagicStone
4610122,LightMagicStone
4610123,LightMagicStone
4701111,DarkMagicStone
4701112,DarkMagicStone
4701113,DarkMagicStone
4701121,DarkMagicStone
4701122,DarkMagicStone
4701123,DarkMagicStone
4702111,DarkMagicStone
4702112,DarkMagicStone
4702113,DarkMagicStone
4702121,DarkMagicStone
4702122,DarkMagicStone
4702123,DarkMagicStone
4703111,DarkMagicStone
4703112,DarkMagicStone
4703113,DarkMagicStone
4703121,DarkMagicStone
4703122,DarkMagicStone
4703123,DarkMagicStone
4704111,DarkMagicStone
4704112,DarkMagicStone
4704113,DarkMagicStone
4704121,DarkMagicStone
4704122,DarkMagicStone
4704123,DarkMagicStone
4705111,DarkMagicStone
4705112,DarkMagicStone
4705113,DarkMagicStone
4705121,DarkMagicStone
4705122,DarkMagicStone
4705123,DarkMagicStone
4706111,DarkMagicStone
4706112,DarkMagicStone
4706113,DarkMagicStone
4706121,DarkMagicStone
4706122,DarkMagicStone
4706123,DarkMagicStone
4707111,DarkMagicStone
4707112,DarkMagicStone
4707113,DarkMagicStone
4707121,DarkMagicStone
4707122,DarkMagicStone
4707123,DarkMagicStone
4708111,DarkMagicStone
4708112,DarkMagicStone
4708113,DarkMagicStone
4708121,DarkMagicStone
4708122,DarkMagicStone
4708123,DarkMagicStone
4709111,DarkMagicStone
4709112,DarkMagicStone
4709113,DarkMagicStone
4709121,DarkMagicStone
4709122,DarkMagicStone
4709123,DarkMagicStone
4710111,DarkMagicStone
4710112,DarkMagicStone
4710113,DarkMagicStone
4710121,DarkMagicStone
4710122,DarkMagicStone
4710123,DarkMagicStone
